State,Year,Quarter,District,Count,Amount
telangana,2023,2,rangareddy,384456496,561147925919.0
telangana,2023,2,hyderabad,328016262,467328236325.0
telangana,2023,2,medchal malkajgiri,296231089,434043629718.0
telangana,2023,2,sangareddy,75850320,121290909918.0
telangana,2023,2,warangal urban,53361513,97631245668.0
telangana,2023,2,nalgonda,41962395,82903124781.0
telangana,2023,2,khammam,36607410,71192383492.0
telangana,2023,2,karimnagar,35552008,67773079796.0
telangana,2023,2,nizamabad,34994548,75596623775.0
telangana,2023,2,siddipet,28696623,54855659978.0
telangana,2019,1,hyderabad,24838664,34892156029.40753
telangana,2019,1,rangareddy,12952050,17677048557.632526
telangana,2019,1,medchal malkajgiri,10127087,13392043971.075241
telangana,2019,1,warangal urban,1953906,2836690647.8977265
telangana,2019,1,sangareddy,1782207,2801488635.44757
telangana,2019,1,karimnagar,1088155,1693944274.3067384
telangana,2019,1,nalgonda,995740,1769178906.7148075
telangana,2019,1,khammam,854495,1481079756.3855424
telangana,2019,1,siddipet,841516,1380114923.8328254
telangana,2019,1,nizamabad,705541,1347187035.3619022
telangana,2019,3,hyderabad,55159072,96365182751.25804
telangana,2019,3,rangareddy,23655175,33663962263.155968
telangana,2019,3,medchal malkajgiri,17492750,23256556346.306458
telangana,2019,3,warangal urban,3280635,5206094337.716869
telangana,2019,3,sangareddy,2699670,4722370404.586679
telangana,2019,3,karimnagar,1604219,2911171015.4164953
telangana,2019,3,khammam,1352931,2602393109.2431
telangana,2019,3,nalgonda,1306394,2779870436.4339104
telangana,2019,3,nizamabad,1143733,2214953316.84891
telangana,2019,3,siddipet,1075629,2226176148.8370996
telangana,2019,4,hyderabad,72987282,130230415629.30252
telangana,2019,4,rangareddy,31237803,44757331443.568375
telangana,2019,4,medchal malkajgiri,22999944,31417907129.793076
telangana,2019,4,warangal urban,4698981,7877138784.222425
telangana,2019,4,sangareddy,3687957,6643761917.41535
telangana,2019,4,karimnagar,2289360,4404111000.947508
telangana,2019,4,nalgonda,1934313,4432868129.214613
telangana,2019,4,khammam,1917973,3902061676.7459927
telangana,2019,4,nizamabad,1638281,3627249339.2387323
telangana,2019,4,siddipet,1508776,3271349293.2839117
telangana,2019,2,hyderabad,43511186,73949377453.0185
telangana,2019,2,rangareddy,16348519,25359412038.382965
telangana,2019,2,medchal malkajgiri,11891107,17462610963.470375
telangana,2019,2,warangal urban,2185190,3832142348.1167383
telangana,2019,2,sangareddy,1920044,3684548498.9737563
telangana,2019,2,karimnagar,1090639,2218679006.703639
telangana,2019,2,nalgonda,982589,2323581176.516111
telangana,2019,2,khammam,926878,2063514016.2549326
telangana,2019,2,siddipet,821209,1837834819.208163
telangana,2019,2,nizamabad,782289,1812827883.3205523
telangana,2018,1,hyderabad,2545507,4287223789.76588
telangana,2018,1,rangareddy,1459174,2677304926.137567
telangana,2018,1,medchal malkajgiri,1131530,1912837340.5006719
telangana,2018,1,warangal urban,349165,421074106.9897361
telangana,2018,1,sangareddy,291510,399236233.1575477
telangana,2018,1,karimnagar,224324,271526470.0733862
telangana,2018,1,nalgonda,204137,267825160.50370258
telangana,2018,1,khammam,183964,245857422.18747443
telangana,2018,1,peddapalle,169274,199610181.17809594
telangana,2018,1,siddipet,144429,197965017.999628
telangana,2018,3,hyderabad,5786941,9503554478.108147
telangana,2018,3,rangareddy,3664948,6264254849.276553
telangana,2018,3,medchal malkajgiri,2684484,4630531106.973803
telangana,2018,3,warangal urban,952314,1158736730.452106
telangana,2018,3,nirmal,594160,443226269.8771687
telangana,2018,3,karimnagar,567417,773038295.5637382
telangana,2018,3,sangareddy,545979,1010420934.8381689
telangana,2018,3,nalgonda,336447,645159574.9435833
telangana,2018,3,peddapalle,334825,548785775.8472054
telangana,2018,3,khammam,299774,611486713.5820062
telangana,2018,4,hyderabad,9360515,14727846731.548256
telangana,2018,4,rangareddy,5803319,9396311751.227482
telangana,2018,4,medchal malkajgiri,4598129,7288821271.332445
telangana,2018,4,warangal urban,917418,1553820916.0367613
telangana,2018,4,sangareddy,868099,1617023609.7333188
telangana,2018,4,karimnagar,597642,1058366451.9186106
telangana,2018,4,nalgonda,520637,1111613192.9887385
telangana,2018,4,khammam,462678,958128373.8025742
telangana,2018,4,siddipet,414378,824913162.382491
telangana,2018,4,peddapalle,390467,777939864.6081892
